Date : 2023-12-05 15:18:03
Directory : d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api
Total : 128 files,  17449 codes, 233 comments, 862 blanks, all 18544 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src\inappropriate-content\dto                                                                                                                 |          2 |         14 |          0 |          4 |         18 |
| src\inappropriate-content\entities                                                                                                            |          1 |         20 |          0 |          7 |         27 |
| src\interest                                                                                                                                  |          6 |        140 |          0 |         32 |        172 |
| src\interest (Files)                                                                                                                          |          3 |        111 |          0 |         23 |        134 |
| src\interest\dto                                                                                                                              |          2 |         10 |          0 |          2 |         12 |
| src\interest\entities                                                                                                                         |          1 |         19 |          0 |          7 |         26 |
| src\language                                                                                                                                  |          6 |        155 |          1 |         42 |        198 |
| src\language (Files)                                                                                                                          |          3 |        111 |          1 |         28 |        140 |
| src\language\dto                                                                                                                              |          2 |         23 |          0 |          6 |         29 |
| src\language\entities                                                                                                                         |          1 |         21 |          0 |          8 |         29 |
| src\mail                                                                                                                                      |          4 |         74 |          0 |          9 |         83 |
| src\mail (Files)                                                                                                                              |          3 |         68 |          0 |          9 |         77 |
| src\mail\templates                                                                                                                            |          1 |          6 |          0 |          0 |          6 |
| src\message                                                                                                                                   |          8 |        187 |         10 |         49 |        246 |
| src\message (Files)                                                                                                                           |          3 |        107 |          4 |         23 |        134 |
| src\message\dto                                                                                                                               |          3 |         33 |          0 |          7 |         40 |
| src\message\entities                                                                                                                          |          2 |         47 |          6 |         19 |         72 |
| src\nacionality                                                                                                                               |          6 |        140 |          2 |         35 |        177 |
| src\nacionality (Files)                                                                                                                       |          3 |        112 |          2 |         24 |        138 |
| src\nacionality\dto                                                                                                                           |          2 |         10 |          0 |          2 |         12 |
| src\nacionality\entities                                                                                                                      |          1 |         18 |          0 |          9 |         27 |
| src\resources                                                                                                                                 |          9 |        209 |         27 |         64 |        300 |
| src\resources (Files)                                                                                                                         |          3 |        128 |         27 |         32 |        187 |
| src\resources\dto                                                                                                                             |          3 |         36 |          0 |         15 |         51 |
| src\resources\entities                                                                                                                        |          3 |         45 |          0 |         17 |         62 |
| src\status                                                                                                                                    |          6 |        148 |          0 |         37 |        185 |
| src\status (Files)                                                                                                                            |          3 |        113 |          0 |         25 |        138 |
| src\status-individual-user                                                                                                                    |          6 |        163 |         15 |         41 |        219 |
| src\status-individual-user (Files)                                                                                                            |          3 |        121 |         15 |         26 |        162 |
| src\status-individual-user\dto                                                                                                                |          2 |         20 |          0 |          6 |         26 |
| src\status-individual-user\entities                                                                                                           |          1 |         22 |          0 |          9 |         31 |
| src\status\dto                                                                                                                                |          2 |         18 |          0 |          4 |         22 |
| src\status\entities                                                                                                                           |          1 |         17 |          0 |          8 |         25 |
| src\users                                                                                                                                     |          7 |        308 |         17 |         84 |        409 |
| src\users (Files)                                                                                                                             |          3 |        215 |          5 |         48 |        268 |
| src\users\dto                                                                                                                                 |          2 |         19 |          0 |          4 |         23 |
| src\users\entities                                                                                                                            |          2 |         74 |         12 |         32 |        118 |
| test                                                                                                                                          |          2 |         29 |          0 |          6 |         35 |
+-----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                      | language           | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\.dockerignore                                                         | Ignore             |          2 |          0 |          1 |          3 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\.eslintrc.js                                                          | JavaScript         |         25 |          0 |          1 |         26 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\Dockerfile                                                            | Docker             |          8 |          0 |          7 |         15 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\README.md                                                             | Markdown           |         61 |          2 |         26 |         89 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\nest-cli.json                                                         | JSON               |         11 |          0 |          1 |         12 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\orm.config.ts                                                         | TypeScript         |         13 |          2 |          3 |         18 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\package-lock.json                                                     | JSON               |     13,813 |          0 |          1 |     13,814 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\package.json                                                          | JSON               |         94 |          6 |          0 |        100 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\app.controller.spec.ts                                            | TypeScript         |         18 |          0 |          5 |         23 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\app.controller.ts                                                 | TypeScript         |         10 |          0 |          3 |         13 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\app.module.ts                                                     | TypeScript         |         64 |          3 |          2 |         69 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\app.service.ts                                                    | TypeScript         |          7 |          0 |          2 |          9 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\auth\auth.controller.spec.ts                                      | TypeScript         |         14 |          0 |          5 |         19 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\auth\auth.controller.ts                                           | TypeScript         |         48 |          0 |          8 |         56 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\auth\auth.guard.ts                                                | TypeScript         |         32 |          0 |          7 |         39 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\auth\auth.module.ts                                               | TypeScript         |         24 |          0 |          2 |         26 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\auth\auth.service.spec.ts                                         | TypeScript         |         14 |          0 |          5 |         19 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\auth\auth.service.ts                                              | TypeScript         |        113 |          0 |         29 |        142 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\auth\constants\jwt.constant.ts                                    | TypeScript         |          6 |          1 |          2 |          9 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\auth\dto\login.dto.ts                                             | TypeScript         |         10 |          0 |          3 |         13 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\auth\dto\register.dto.ts                                          | TypeScript         |         25 |          0 |          7 |         32 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\auth\dto\update-profile.dto.ts                                    | TypeScript         |         21 |          0 |          9 |         30 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\auth\dto\verify-email.dto.ts                                      | TypeScript         |          6 |          0 |          1 |          7 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\aws\aws.controller.ts                                             | TypeScript         |         25 |          0 |          7 |         32 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\aws\aws.module.ts                                                 | TypeScript         |          9 |          0 |          2 |         11 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\aws\aws.service.ts                                                | TypeScript         |         79 |          5 |         17 |        101 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\chat-gpt-ai\chat-gpt-ai.controller.ts                             | TypeScript         |         16 |          0 |          4 |         20 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\chat-gpt-ai\chat-gpt-ai.module.ts                                 | TypeScript         |          9 |          0 |          2 |         11 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\chat-gpt-ai\chat-gpt-ai.service.ts                                | TypeScript         |         48 |          2 |         12 |         62 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\chat-gpt-ai\model\get-ai-model-answe.ts                           | TypeScript         |         12 |          0 |          4 |         16 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\chat\chat.controller.ts                                           | TypeScript         |         20 |          0 |          7 |         27 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\chat\chat.gateway.spec.ts                                         | TypeScript         |         15 |          0 |          5 |         20 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\chat\chat.gateway.ts                                              | TypeScript         |         79 |         59 |         36 |        174 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\chat\chat.module.ts                                               | TypeScript         |         19 |          0 |          2 |         21 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\chat\chat.service.spec.ts                                         | TypeScript         |         14 |          0 |          5 |         19 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\chat\chat.service.ts                                              | TypeScript         |        106 |         14 |         20 |        140 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\configuration\configuration.controller.ts                         | TypeScript         |         74 |         27 |          3 |        104 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\configuration\configuration.module.ts                             | TypeScript         |         19 |          0 |          2 |         21 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\configuration\configuration.service.ts                            | TypeScript         |        397 |         27 |         55 |        479 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\configuration\dto\create-inappropriate-content-user.dto.ts        | TypeScript         |          7 |          0 |          3 |         10 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\configuration\dto\create-interest-user.dto.ts                     | TypeScript         |          7 |          0 |          3 |         10 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\configuration\dto\create-language-nacionality.dto.ts              | TypeScript         |          5 |          0 |          2 |          7 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\configuration\dto\create-language-user.dto.ts                     | TypeScript         |          7 |          0 |          3 |         10 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\configuration\dto\select-nacionality-language.dto.ts              | TypeScript         |          7 |          0 |          2 |          9 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\configuration\dto\select-nacionality-mattern-language-user.dto.ts | TypeScript         |          5 |          0 |          1 |          6 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\configuration\dto\select-nacionality-user.dto.ts                  | TypeScript         |          5 |          0 |          1 |          6 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\configuration\dto\update-language-nacionality.dto.ts              | TypeScript         |          8 |          0 |          2 |         10 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\configuration\dto\update-language-user.dto.ts                     | TypeScript         |         11 |          0 |          3 |         14 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\configuration\entities\inappropriate_content_user.entity.ts       | TypeScript         |         23 |          0 |          8 |         31 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\configuration\entities\interest_user.entity.ts                    | TypeScript         |         23 |          0 |          8 |         31 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\configuration\entities\language_user.entity.ts                    | TypeScript         |         25 |          0 |          9 |         34 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\contact\contact.controller.ts                                     | TypeScript         |         34 |          0 |          8 |         42 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\contact\contact.module.ts                                         | TypeScript         |         12 |          0 |          2 |         14 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\contact\contact.service.ts                                        | TypeScript         |         83 |          5 |         31 |        119 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\contact\dto\create-contact.dto.ts                                 | TypeScript         |          7 |          0 |          3 |         10 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\contact\dto\update-contact.dto.ts                                 | TypeScript         |          7 |          0 |          2 |          9 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\contact\entities\contact.entity.ts                                | TypeScript         |         22 |          1 |          7 |         30 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\database\migrations\1695871508589-first_migration.ts              | TypeScript         |         16 |          0 |          5 |         21 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\database\migrations\1696128441341-first_migration.ts              | TypeScript         |         14 |          0 |          5 |         19 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\inappropriate-content\dto\create-inappropriate-content.dto.ts     | TypeScript         |          7 |          0 |          2 |          9 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\inappropriate-content\dto\update-inappropriate-content.dto.ts     | TypeScript         |          7 |          0 |          2 |          9 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\inappropriate-content\entities\inappropriate-content.entity.ts    | TypeScript         |         20 |          0 |          7 |         27 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\inappropriate-content\inappropriate-content.controller.ts         | TypeScript         |         35 |          0 |          9 |         44 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\inappropriate-content\inappropriate-content.module.ts             | TypeScript         |         11 |          0 |          2 |         13 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\inappropriate-content\inappropriate-content.service.ts            | TypeScript         |         65 |          0 |         13 |         78 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\interest\dto\create-interest.dto.ts                               | TypeScript         |          5 |          0 |          1 |          6 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\interest\dto\update-interest.dto.ts                               | TypeScript         |          5 |          0 |          1 |          6 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\interest\entities\interest.entity.ts                              | TypeScript         |         19 |          0 |          7 |         26 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\interest\interest.controller.ts                                   | TypeScript         |         35 |          0 |          7 |         42 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\interest\interest.module.ts                                       | TypeScript         |         11 |          0 |          2 |         13 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\interest\interest.service.ts                                      | TypeScript         |         65 |          0 |         14 |         79 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\language\dto\create-language.dto.ts                               | TypeScript         |         11 |          0 |          3 |         14 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\language\dto\update-language.dto.ts                               | TypeScript         |         12 |          0 |          3 |         15 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\language\entities\language.entity.ts                              | TypeScript         |         21 |          0 |          8 |         29 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\language\language.controller.ts                                   | TypeScript         |         35 |          1 |          9 |         45 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\language\language.module.ts                                       | TypeScript         |         11 |          0 |          2 |         13 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\language\language.service.ts                                      | TypeScript         |         65 |          0 |         17 |         82 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\mail\mail.controller.ts                                           | TypeScript         |         11 |          0 |          4 |         15 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\mail\mail.module.ts                                               | TypeScript         |         38 |          0 |          2 |         40 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\mail\mail.service.ts                                              | TypeScript         |         19 |          0 |          3 |         22 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\mail\templates\confirmation.hbs                                   | Handlebars         |          6 |          0 |          0 |          6 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\main.ts                                                           | TypeScript         |         19 |          5 |          6 |         30 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\message\dto\create-chat.dto.ts                                    | TypeScript         |         14 |          0 |          1 |         15 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\message\dto\create-message.dto.ts                                 | TypeScript         |         16 |          0 |          4 |         20 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\message\dto\update-message.dto.ts                                 | TypeScript         |          3 |          0 |          2 |          5 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\message\entities\chat.entity.ts                                   | TypeScript         |         22 |          2 |          9 |         33 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\message\entities\message.entity.ts                                | TypeScript         |         25 |          4 |         10 |         39 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\message\message.controller.ts                                     | TypeScript         |         30 |          0 |          7 |         37 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\message\message.module.ts                                         | TypeScript         |         20 |          0 |          3 |         23 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\message\message.service.ts                                        | TypeScript         |         57 |          4 |         13 |         74 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\nacionality\dto\create-nacionality.dto.ts                         | TypeScript         |          5 |          0 |          1 |          6 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\nacionality\dto\update-nacionality.dto.ts                         | TypeScript         |          5 |          0 |          1 |          6 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\nacionality\entities\nacionality.entity.ts                        | TypeScript         |         18 |          0 |          9 |         27 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\nacionality\nacionality.controller.ts                             | TypeScript         |         35 |          1 |          9 |         45 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\nacionality\nacionality.module.ts                                 | TypeScript         |         12 |          0 |          2 |         14 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\nacionality\nacionality.service.ts                                | TypeScript         |         65 |          1 |         13 |         79 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\resources\dto\create-image.dto.ts                                 | TypeScript         |          8 |          0 |          3 |         11 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\resources\dto\create-resource.dto.ts                              | TypeScript         |         14 |          0 |          6 |         20 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\resources\dto\create-text.dto.ts                                  | TypeScript         |         14 |          0 |          6 |         20 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\resources\entities\image.entity.ts                                | TypeScript         |         16 |          0 |          6 |         22 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\resources\entities\resource.entity.ts                             | TypeScript         |         15 |          0 |          6 |         21 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\resources\entities\text.entity.ts                                 | TypeScript         |         14 |          0 |          5 |         19 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\resources\resources.controller.ts                                 | TypeScript         |         26 |         11 |          7 |         44 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\resources\resources.module.ts                                     | TypeScript         |         20 |          0 |          2 |         22 |
